entry_time,exit_time,direction,bars_held,size_factor,notional,beta,gross_pnl,slippage_spread_cost,commission,net_pnl,return_pct,capital_after
2021-01-12 14:41:00+00:00,2021-01-12 15:54:00+00:00,long,73,1.0,100000.0,0.6188441122804984,295.23755794201384,43.7855858547412,6.0,289.23755794201384,0.28923755794201383,100289.23755794202
2021-01-12 17:15:00+00:00,2021-01-15 20:38:00+00:00,long,1374,1.0,100289.23755794202,0.5695006608853743,325.2459473831095,43.43388444233493,6.0,319.2459473831095,0.31832523125790585,100608.48350532513
2021-01-20 19:27:00+00:00,2021-01-21 14:50:00+00:00,short,114,1.0,100608.48350532513,0.5299316857520695,101.06042915915035,44.19327945816389,6.0,95.06042915915035,0.0944855004738431,100703.54393448427
2021-01-25 14:31:00+00:00,2021-01-26 14:43:00+00:00,long,403,1.0,100703.54393448427,0.38182741816323423,172.5725054462714,44.76462712669913,6.0,166.5725054462714,0.16540878199345216,100870.11643993054
2021-01-27 14:31:00+00:00,2021-01-27 15:30:00+00:00,long,59,1.0,100870.11643993054,0.4544356937117968,527.6296932145933,44.58195578242554,6.0,521.6296932145933,0.5171300595506207,101391.74613314513
2021-01-27 17:03:00+00:00,2021-01-27 17:50:00+00:00,long,47,1.0,101391.74613314513,0.5320348772664409,355.83499862635443,45.06748438600728,6.0,349.83499862635443,0.3450330149822647,101741.58113177148
2021-01-27 19:52:00+00:00,2021-01-28 14:31:00+00:00,long,70,1.0,101741.58113177148,0.4406206700015064,425.89323939557653,45.845258757910585,6.0,419.89323939557653,0.4127056359107966,102161.47437116706
2021-01-29 14:34:00+00:00,2021-01-29 14:57:00+00:00,short,23,1.0,102161.47437116706,0.5517562241001027,351.9871069579671,44.910391582444106,6.0,345.9871069579671,0.33866690852654213,102507.46147812503
2021-01-29 17:25:00+00:00,2021-02-01 14:46:00+00:00,long,232,0.5242881698118039,53743.44937042017,0.8025783130564019,-221.2009919742752,23.885319265278767,6.0,-227.2009919742752,-0.42275104154242144,102280.26048615076
2021-02-02 14:35:00+00:00,2021-02-02 16:00:00+00:00,short,85,1.0,102280.26048615076,0.7968489210327515,606.8626269757644,45.1023341153473,6.0,600.8626269757644,0.5874668524696651,102881.12311312652
2021-02-03 14:34:00+00:00,2021-02-03 14:52:00+00:00,long,18,1.0,102881.12311312652,0.7456205089034207,367.4935381873348,45.14296179596452,6.0,361.4935381873348,0.35137013209881274,103242.61665131386
2021-02-03 15:25:00+00:00,2021-02-04 14:32:00+00:00,long,334,1.0,103242.61665131386,0.8077745548290213,-225.0139107661297,45.487093751203865,6.0,-231.0139107661297,-0.22375828728396513,103011.60274054774
2021-02-04 20:16:00+00:00,2021-02-08 17:32:00+00:00,short,615,1.0,103011.60274054774,0.7822745744869793,-9.963133921830263,44.95139780810038,6.0,-15.963133921830263,-0.015496442630871528,102995.6396066259
2021-02-11 14:31:00+00:00,2021-02-11 14:36:00+00:00,long,5,1.0,102995.6396066259,0.3073547637757757,271.12808742938506,45.5984076417993,6.0,265.12808742938506,0.25741680758719115,103260.76769405529
2021-02-17 14:37:00+00:00,2021-02-17 15:13:00+00:00,long,36,1.0,103260.76769405529,0.34628062997775877,266.58563907485626,45.71570773993778,6.0,260.58563907485626,0.2523568678541387,103521.35333313014
2021-02-18 14:42:00+00:00,2021-02-18 17:15:00+00:00,long,150,1.0,103521.35333313014,0.31475416216553664,338.30193270329187,45.92339628122744,6.0,332.30193270329187,0.32099844332014216,103853.65526583344
